# Generated by LORRAX unknown at 2026-07-18 02:27:59 UTC
# G0W0 diagonal energies (eV)
# columns: band  E_DFT  Re[H0+Sigma_xc(E_DFT)]  Im[H0+Sigma_xc(E_DFT)]

k-point 0:
--------------------------------------------------------------------------------
n=0    E_DFT=  -65.372251  Re=  -75.134041  Im=    0.009965
n=1    E_DFT=  -65.372251  Re=  -75.134041  Im=    0.009965
n=2    E_DFT=  -41.997237  Re=  -47.815527  Im= 5633.865179
n=3    E_DFT=  -41.997237  Re=  -47.815527  Im= 5633.865179
n=4    E_DFT=  -39.497232  Re=  -45.693295  Im=-1270.737238
n=5    E_DFT=  -39.497232  Re=  -45.693295  Im=-1270.737236
n=6    E_DFT=  -39.272875  Re=  -44.491402  Im=-4388.306044
n=7    E_DFT=  -39.272875  Re=  -44.491402  Im=-4388.306044
n=8    E_DFT=  -19.398604  Re=  -20.940325  Im=    0.066680
n=9    E_DFT=  -19.398604  Re=  -20.940325  Im=    0.066680
n=10   E_DFT=  -18.214280  Re=  -18.717372  Im=    2.313289
n=11   E_DFT=  -18.214280  Re=  -18.717372  Im=    2.313290
n=12   E_DFT=  -10.873768  Re=   -9.597784  Im=   -0.271087
n=13   E_DFT=  -10.873768  Re=   -9.597784  Im=   -0.271087
n=14   E_DFT=   -7.815640  Re=   -7.317344  Im= -100.302401
n=15   E_DFT=   -7.815640  Re=   -7.317344  Im= -100.302401
n=16   E_DFT=   -7.759785  Re=   -7.287629  Im=   67.636909
n=17   E_DFT=   -7.759785  Re=   -7.287629  Im=   67.636910
n=18   E_DFT=   -7.145276  Re=   -6.662262  Im=   12.535277
n=19   E_DFT=   -7.145276  Re=   -6.662262  Im=   12.535277
n=20   E_DFT=   -6.779803  Re=   -5.851684  Im=  105.335109
n=21   E_DFT=   -6.779803  Re=   -5.851684  Im=  105.335107
n=22   E_DFT=   -6.699109  Re=   -5.748392  Im= -105.073288
n=23   E_DFT=   -6.699109  Re=   -5.748392  Im= -105.073288
